row_index,truth,h0_prediction,ovr_prediction,h0_correct,ovr_correct,recovered_by_ovr,broken_by_ovr,disagreement
0,KIPAN,KIPAN,LIHC,True,False,False,True,True
1,SARC,GBMLGG,GBMLGG,False,False,False,False,False
2,SKCM,SKCM,SKCM,True,True,False,False,False
3,KIRC,KIRC,KIRC,True,True,False,False,False
4,GBMLGG,STES,OV,False,False,False,False,True
5,STES,STES,STES,True,True,False,False,False
6,BRCA,BRCA,BRCA,True,True,False,False,False
7,THCA,PCPG,PCPG,False,False,False,False,False
8,LIHC,SARC,SARC,False,False,False,False,False
9,STES,STES,STES,True,True,False,False,False
10,STES,UCEC,PRAD,False,False,False,False,True
11,HNSC,STES,HNSC,False,True,True,False,True
12,KIRC,KIPAN,KIPAN,False,False,False,False,False
13,PAAD,PAAD,OV,True,False,False,True,True
14,SKCM,SKCM,SKCM,True,True,False,False,False
15,OV,KIPAN,KIPAN,False,False,False,False,False
16,KIPAN,STES,STES,False,False,False,False,False
17,KIPAN,KIRC,KIPAN,False,True,True,False,True
18,BRCA,LAML,LAML,False,False,False,False,False
19,PRAD,BRCA,THCA,False,False,False,False,True
20,GBMLGG,BRCA,THYM,False,False,False,False,True
21,UCEC,UCEC,BRCA,True,False,False,True,True
22,GBMLGG,GBMLGG,GBMLGG,True,True,False,False,False
23,LAML,BRCA,BRCA,False,False,False,False,False
24,COAD,COAD,COAD,True,True,False,False,False
25,STES,STES,STES,True,True,False,False,False
26,BRCA,BRCA,BRCA,True,True,False,False,False
27,THCA,THCA,THCA,True,True,False,False,False
28,BRCA,PCPG,PCPG,False,False,False,False,False
29,SKCM,SKCM,SKCM,True,True,False,False,False
30,ACC,ACC,ACC,True,True,False,False,False
31,GBMLGG,GBMLGG,GBMLGG,True,True,False,False,False
32,HNSC,HNSC,HNSC,True,True,False,False,False
33,KIRC,KIRC,KIRC,True,True,False,False,False
34,KIRC,KIRC,KIRC,True,True,False,False,False
35,PRAD,PCPG,PCPG,False,False,False,False,False
36,LGG,LGG,LGG,True,True,False,False,False
37,LUSC,STES,STES,False,False,False,False,False
38,LUSC,LUSC,LUSC,True,True,False,False,False
39,BRCA,OV,OV,False,False,False,False,False
40,BRCA,OV,GBMLGG,False,False,False,False,True
41,UCEC,UCEC,UCEC,True,True,False,False,False
42,KIRC,KIRC,KIRC,True,True,False,False,False
43,GBMLGG,GBMLGG,GBMLGG,True,True,False,False,False
44,ACC,ACC,ACC,True,True,False,False,False
45,LUAD,LIHC,LIHC,False,False,False,False,False
46,BRCA,BRCA,BRCA,True,True,False,False,False
47,SKCM,SKCM,SKCM,True,True,False,False,False
48,STES,GBMLGG,GBMLGG,False,False,False,False,False
49,LUSC,LUSC,LUSC,True,True,False,False,False
50,ACC,ACC,ACC,True,True,False,False,False
51,BRCA,BRCA,BRCA,True,True,False,False,False
52,KIRC,KIRC,KIRC,True,True,False,False,False
53,GBMLGG,GBMLGG,GBMLGG,True,True,False,False,False
54,UCEC,COAD,COAD,False,False,False,False,False
55,PRAD,SARC,PCPG,False,False,False,False,True
56,BRCA,BRCA,BRCA,True,True,False,False,False
57,BRCA,PRAD,PCPG,False,False,False,False,True
58,STES,STES,STES,True,True,False,False,False
59,KIPAN,KIPAN,KIPAN,True,True,False,False,False
60,UCEC,UCEC,UCEC,True,True,False,False,False
61,KIRC,PRAD,KIRC,False,True,True,False,True
62,KIRC,KIRC,KIRC,True,True,False,False,False
63,BRCA,BRCA,BRCA,True,True,False,False,False
64,OV,OV,OV,True,True,False,False,False
65,BRCA,BRCA,BRCA,True,True,False,False,False
66,KIPAN,THYM,THYM,False,False,False,False,False
67,BRCA,HNSC,HNSC,False,False,False,False,False
68,OV,LUAD,LUAD,False,False,False,False,False
69,LGG,LGG,LGG,True,True,False,False,False
70,BRCA,BRCA,BRCA,True,True,False,False,False
71,UCEC,UCEC,STES,True,False,False,True,True
72,GBMLGG,GBMLGG,SARC,True,False,False,True,True
73,SKCM,SKCM,SKCM,True,True,False,False,False
74,STES,STES,STES,True,True,False,False,False
75,BRCA,SARC,SARC,False,False,False,False,False
76,LUSC,LUSC,LUSC,True,True,False,False,False
77,PRAD,PRAD,PRAD,True,True,False,False,False
78,SKCM,SKCM,SKCM,True,True,False,False,False
79,KIPAN,STES,STES,False,False,False,False,False
80,UCEC,STES,STES,False,False,False,False,False
81,LAML,LAML,LAML,True,True,False,False,False
82,BRCA,SARC,SARC,False,False,False,False,False
83,GBMLGG,UCEC,UCEC,False,False,False,False,False
84,OV,OV,OV,True,True,False,False,False
85,STES,HNSC,LUAD,False,False,False,False,True
86,BRCA,BRCA,BRCA,True,True,False,False,False
87,PRAD,LUSC,LUSC,False,False,False,False,False
88,BRCA,BRCA,BRCA,True,True,False,False,False
89,BRCA,STES,LUAD,False,False,False,False,True
90,LUSC,LUSC,LUSC,True,True,False,False,False
91,KIPAN,KIPAN,KIPAN,True,True,False,False,False
92,KIPAN,STES,STES,False,False,False,False,False
93,CESC,CESC,CESC,True,True,False,False,False
94,UCEC,UCEC,UCEC,True,True,False,False,False
95,KIPAN,BRCA,KIRC,False,False,False,False,True
96,STES,STES,STES,True,True,False,False,False
97,KIPAN,SARC,SARC,False,False,False,False,False
98,KIPAN,PCPG,PCPG,False,False,False,False,False
99,PCPG,PCPG,PCPG,True,True,False,False,False
100,SKCM,SKCM,THCA,True,False,False,True,True
101,BRCA,PRAD,PRAD,False,False,False,False,False
102,THYM,THYM,THYM,True,True,False,False,False
103,BRCA,BRCA,BRCA,True,True,False,False,False
104,BRCA,OV,OV,False,False,False,False,False
105,SKCM,SKCM,SKCM,True,True,False,False,False
106,LGG,LGG,LGG,True,True,False,False,False
107,THCA,THCA,THCA,True,True,False,False,False
108,KIPAN,BRCA,BRCA,False,False,False,False,False
109,BRCA,BRCA,BRCA,True,True,False,False,False
110,BRCA,CESC,CESC,False,False,False,False,False
111,SKCM,SKCM,SKCM,True,True,False,False,False
112,GBMLGG,LGG,GBMLGG,False,True,True,False,True
113,LUSC,LUAD,LUAD,False,False,False,False,False
114,PRAD,BRCA,BRCA,False,False,False,False,False
115,BRCA,BRCA,PRAD,True,False,False,True,True
116,BLCA,BLCA,BLCA,True,True,False,False,False
117,GBMLGG,GBMLGG,GBMLGG,True,True,False,False,False
118,BRCA,BRCA,BRCA,True,True,False,False,False
119,TGCT,TGCT,TGCT,True,True,False,False,False
120,KIPAN,KIPAN,KIPAN,True,True,False,False,False
121,LGG,LGG,LGG,True,True,False,False,False
122,THCA,THYM,THYM,False,False,False,False,False
123,KIPAN,LIHC,LIHC,False,False,False,False,False
124,OV,KIPAN,OV,False,True,True,False,True
125,STES,COAD,COAD,False,False,False,False,False
126,THYM,PRAD,PRAD,False,False,False,False,False
127,LUSC,HNSC,HNSC,False,False,False,False,False
128,HNSC,PAAD,PAAD,False,False,False,False,False
129,LUSC,THYM,THYM,False,False,False,False,False
130,PCPG,BRCA,BRCA,False,False,False,False,False
131,KIRC,SARC,BRCA,False,False,False,False,True
132,SKCM,SKCM,SKCM,True,True,False,False,False
133,SARC,THYM,THYM,False,False,False,False,False
134,DLBC,DLBC,KIPAN,True,False,False,True,True
135,LUAD,BRCA,LUAD,False,True,True,False,True
136,BRCA,SARC,PRAD,False,False,False,False,True
137,BRCA,BRCA,BRCA,True,True,False,False,False
138,KIRC,KIRC,KIRC,True,True,False,False,False
139,LUSC,LUSC,STES,True,False,False,True,True
140,THCA,THYM,LAML,False,False,False,False,True
141,LUSC,STES,STES,False,False,False,False,False
142,SKCM,SKCM,SKCM,True,True,False,False,False
143,KIRC,KIPAN,KIPAN,False,False,False,False,False
144,BRCA,SARC,SARC,False,False,False,False,False
145,STES,STES,COAD,True,False,False,True,True
