raw_pattern,count
L26V L24V,19
V600E V600E,11
S8S S6A,9
S43G P45P,7
C19W R5R,6
G73G G81G,5
E726K H1047R,4
H1047R H1047R,4
S372S K373E,4
L279L L279L,3
P11S P11S,3
P534P E556K S557T,3
N345K N345K,3
E545K E545K,3
P80L P80L,3
R876* R1450*,3
E453K E545K,3
E216K E216K,3
E556K S557T,3
E545K E726K,3
E28K E28K,3
P239S P239S,2
C165F T146T,2
V73M Y59Y,2
Q2104H R152*,2
L284L L284L,2
R273H T155N,2
483_484MP>IA,2
L471L L471L,2
A241T V144M,2
C238Y R196*,2
P1109L R1107Q,2
T230P C141W,2
R130* R233*,2
P220L P220L,2
P244L P244L,2
R267Q R156H,2
G724S W880*,2
R1879C A427A H239H,2
V241L R245L,2
L771L L771L,2
N518N Y74F,2
P98S P98S,2
K814K Y2742*,2
R84Q R84Q,2
I301I I301I,2
E90K E90K,2
S185I Q186K,2
R823H P685A,2
E1814* L1813F,2
V236V K229N,2
P939P Y327Y,2
N611N R677C,2
D881N D490D,2
D1627D R2406*,2
A1942A A898V,2
S2369S A2404V,2
S4727P R755Q L515L,2
929_930LL>LL,2
R4335H R1696Q,2
Y2152* Q193*,2
L6L L6L,2
P66S P66S,2
V1519V S2771P,2
L501V C500R,2
L128L L128L,2
R183C R183C,2
P2705R A2713G,2
312_313QY>HH,2
V216L I195N,2
Y185* Y185*,2
A28A A28A,2
D390N D390N,2
R175H T155P,2
L150L L150L,2
V1325L G184V,2
G45R G45R,2
P430L P430L,2
N877I N864Y,2
P58A M56I M56L,2
A2113A A2106A L1321L,2
F80F G79G,2
G136S I174V,2
H214R S127F,2
A1061V I1056I,2
Y220C C141Y,2
F129F F129F,2
R1475R S138S,2
A1543T W1565*,2
E186K E186K,2
E42K E42K,2
F147F F147F,2
Y311F R252T D242V,2
P293S P293S,2
W1672* Q292*,2
R172K S332S,2
P169L P169L,2
V38V V38V,2
P282L P282L,2
L32L L32L,2
Q8* Q8*,2
K414E A373A,2
Y1889* N247K,2
E49K E49K,2
P397A Q392R,2
S9S P26P,2
D28G L89H,2
E45K E45K,2
S70L S70L,2
K950* R654R,2
P78L P78L,2
R506C V505I,2
H283H S277S,2
82_83DA>EI,2
E729K A728E,2
R515Q D506N,2
V2111M P3302Q,2
F218F F218F,2
K373E S372S,2
203_204LL>LL,2
139_140MG>I*,2
P50S P50S,2
L54L L54L,2
V274G R213*,2
I163S V474A,2
H36R P279R,2
G316G A315A,2
P125S P125S,2
K1104E G1102E V1105L P1107P,2
P117S P117S,2
Y280* Y280H,2
L866P R868P,2
P264S P264S,2
R773Q V896I,2
H119Y H119Y,2
A97A A97A,2
L41F L41F,2
K123N S124Y,2
Q461H G559G,2
E48* D47N,2
I1784S N1763K,2
R273C I255F,2
G569E G569E,2
P639H A638A,2
L86L L86L,2
L551L G486S E481K,2
P45L L169P,2
S133S S133S,2
R273C Y220H,2
E365K E365K,2
P27S P27S,2
Y220C C176Y,2
264_265MG>I*,2
L187L L187L,2
T515T G288G,2
A12A A8E,2
435_436EA>DS,2
M237I R196*,2
E362D Y363F,2
S138L S138L,2
V2006L M1998I,2
A392T R539H,2
R282W R213*,2
I1538I M673I,2
Y23H P21P,2
P194S P194S,2
A118T A224A,2
F556L Y570Y,2
N381N I378I,2
V136V V136V,2
L116L W117C,2
S585R P586P,2
S640S S640S,2
468_469LG>F*,2
T328N T328T,2
E3844A A3845A,2
G68R G68R,2
E433D S435L,2
E140K E140K,2
L8L L8L,2
I174I I174I,2
L1232L L95L,2
R273H R273H,2
P45S K159*,2
E317K D321Y,2
F305F F305F,2
A329A I114I,2
E286G I195F,2
G304G G304G,2
F488V F488V,2
292_293DP>ES,2
Q347* I346N,2
A374A L371L,2
D208G R110P,2
127_128KL>KL,2
G823A I824F,2
H22H D77Y V720V T1170A E1350* I1906R A2476T T2747A P2996P C3180Y,1
R1196C R1097* F26C,1
S277L S862L,1
R661L D747N,1
Q374H I491I I783I,1
D572Y E68K,1
S471L Q507Q,1
E441D E32*,1
F186V K693T N1110S T2126T R2316W,1
Q874H E917E,1
E343E V477V,1
R2030W R2030W,1
G68G V184V R1524C,1
R373Q Y597C A646T,1
N1169T R1083*,1
P358H P11P,1
R2434Q A1350A E1015E P574P E251D,1
E498E K851N,1
L684F E1194D F1436F F2487V,1
F1801L R906C I688I D663G R192W,1
D152Y E264E K378N E18K,1
E187* R131Q,1
V338I S440N E563*,1
R1439Q R445I,1
S8Y T5K,1
F986L K327T,1
K31T Q467H,1
V447V I406I D140N,1
F368F E260E,1
R31Q E145*,1
Y160F I219I H294N E570K,1
R145Q R172Q,1
I144I R578I I616M,1
M2054I M2054I,1
R256Q F605S,1
R651Q R163I,1
K542N S488S,1
S11L I322T,1
R292H E216* K120N,1
K76N L482L R487Q,1
E443* R1116C,1
I115I A213V,1
I4361I S3564Y K2568N K1652N D1071D,1
V135A V206I,1
F597L S43F,1
R255Q S216F,1
A476V V460L R148*,1
F126C L448I,1
E161* R292H S762A E1112D E2260D S3397Y P3982P,1
S225Y E317D,1
E210* F392L,1
R395C K138T,1
R168I R2204* S2358S,1
F1409L R1272Q R1186Q,1
Q680R I1742S,1
I133M S920F I1021M,1
R853* E1404E,1
V520I S249A,1
R402C T46T,1
R2221C E1842D R1155* E1016D,1
P184Q W378L,1
E3879Q E3879Q,1
Q623* Q623*,1
E271Q E271Q,1
C100C C100C,1
F515F F515F,1
T263P T263P,1
G192S G141G,1
R1127R E593K,1
L1398L Q708*,1
P84H S317F,1
P260S E926K,1
G129R D685N,1
G687R P1042F,1
H1983H E511K,1
F47L Q32*,1
T743A E321R,1
V2174V G2096G,1
I390T R906Q,1
P914H P749S,1
L1960I R45M,1
752_753MQ>I*,1
L965R L461L E113*,1
K859T R431Q,1
V712A S379S,1
S1122N K176T,1
K1156N T1092A E275* A252T,1
K723N D626G R68I,1
L816L D883N S978L R1210C,1
K1066T I116V,1
R1267* F625F,1
K184N L255M,1
Q369* I368N,1
F364L V917V,1
D152G K249T,1
R2024* K3887N F4664V E5170*,1
R643Q E335K R278I,1
A1350S R1075Q K239N,1
S321Y D360Y S587L,1
S1093L Q779H K498N R285M,1
M2428I E2150D E1889* R1512* R1194Q M625I E380* F314V,1
F2722L F2182L I1946I F1868C S1738Y R1727W A1568V C1347C F558L,1
R880I R817Q,1
E242* V302V C331* K363N,1
E280* R451C,1
R285Q K609Q R928I,1
R1419I R1048C,1
F427L F364C,1
I111T K196N,1
V537I R164Q,1
D21Y S162Y R193W Q479H,1
R1012Q K921N D672Y K96T,1
R2184I V1729L K1552T K1163N,1
R627Q N262K D177D E166K,1
S89Y L803I,1
R599Q D514N F336C,1
R595W E524E D94N,1
G75R E267*,1
E274D K140K,1
Y654Y C183*,1
E853D R110H,1
D1978Y I1580S R922C G579* R477I C330C,1
G822E V1757V,1
A1648T V1275A E946E A913T K592N I514S A493T G237G S87N,1
E270D P168S R112I,1
S22S R74Q T594A,1
L1277I N1140N V932A P426S L402I,1
D1154E I973I S702Y L544I I434S,1
L121L F921L R1461I R1941H R3660I F4235L,1
I448I I1052I L4669M,1
Q102H R196I,1
R624C R531* E496* N419T,1
G543E I880T,1
R152C E309*,1
S636L L445I,1
F65L K440*,1
R306C T127T,1
S31S Q687K I872I,1
R672* R446W F363L,1
R169Q S326L,1
E165* R469Q I649I G756R,1
I761I I807I,1
S292S G122G,1
E3995D A3712T R3482C M2841I E2821G L2679I R2536I M2455V V2076F E1907D K640N D317Y,1
R1078R R1161I E1697K K1801N,1
G414D R383C R306Q,1
D239N S675N F965F,1
F444C D546Y,1
E763* R1348C E1705D,1
N603H E234D S210Y,1
I1973L Q1334Q S1032L E386*,1
A762A E1046K,1
E124K S57L,1
R992C A1208D,1
R437W F681F,1
D112Y E802* K1149N H1239N,1
L1081I R926* K166*,1
L345L I174I,1
R201Q E79*,1
E50K R194W Q421H,1
Q51Q E217* T256T H359N,1
